date,day,utm name,campaign id,title,message
15/04/2026,Wednesday,15April_MP_1M_Clinic_Grooming_xxREP,1776770575,Coat getting messy again? 🐕,"{pet parent}, {your pet} may be due for a fresh groom soon. Book a slot now. 🐾"
15/04/2026,Wednesday,15April_MP_2M_Clinic_Vaccine_xxN2B,1776770659,Due this month? 💉,"{pet parent}, missing vaccines can risk {your pet}’s health. Visit Supertails today 🐾"
15/04/2026,Wednesday,15April_MP_3M_Clinic_xxGRP,1776772937,Feeling the heat? ☀️,"{pet parent}, long coats can make {your pet} uncomfortable.🐾"
15/04/2026,Wednesday,15April_MP_4M_Clinic_xxCNP,1776772974,Small signs matter 👀,"{pet parent}, early checks can help {your pet} stay healthy.🐾"
15/04/2026,Wednesday,15April_MP_5M_Clinic_xBDAY,1776770692,More than just treats 🎂,"{pet parent}, don’t miss {your pet}’s spa treat this birthday month. Visit Supertails today 🐾"
15/04/2026,Wednesday,15April_MP_6M_Clinic_xxGUT,1776770796,Eating less lately? 🍽️,"{pet parent}, gut issues can affect {your pet} in summer. Visit Supertails for a quick check today 🐾"
15/04/2026,Wednesday,15April_MP_7M_Clinic_xDENT,1776770827,Bad breath isn’t normal 😬,"{pet parent}, dental issues can affect {your pet}’s health. Visit Supertails for a quick check today 🐾"
15/04/2026,Wednesday,15April_MP_8M_Clinic_xSKIN,1776770849,Itching isn’t normal 🐕,"{pet parent}, skin issues can worsen quickly in {your pet}. Visit Supertails for a quick check today 🐾"
15/04/2026,Wednesday,15April_MP_9M_Clinic_xxN2B,1776770717,First check matters 🐾,"{pet parent}, start {your pet}’s care journey right without stress. Visit Supertails today.🐕"
16/04/2026,Thursday,16April_MP_1E_Clinic_Grooming_xxREP,1776770575,Time for upkeep? 🐶,"{pet parent}, {your pet}'s next grooming date is approaching. Book a slot now. 🐾"
16/04/2026,Thursday,16April_MP_2E_Clinic_xxTNF,1776772898,Fleas spread fast 🐛,"{pet parent}, early care keeps {your pet} safe. Get vet consult today at Supertails.🐾"
16/04/2026,Thursday,16April_MP_3E_Clinic_xxGRP,1776772937,Coat care = comfort 🐕,"{pet parent}, grooming helps {your pet} stay cool. Visit Supertails for a grooming session.🐾"
16/04/2026,Thursday,16April_MP_4E_Clinic_xxCNP,1776772974,Don’t miss early signs 👀,"{pet parent}, {your pet} may need attention. Drop by Supertails today for a vet consult. 🐾"
16/04/2026,Thursday,16April_MP_5E_Clinic_xBDAY,1776770692,A special month for your pet 🎂,Get 50% OFF a birthday spa session! 🐾 treat {your pet} to the ultimate glow-up at Supertails.
16/04/2026,Thursday,16April_MP_6E_Clinic_xSKIN,1776770849,Skin signs matter 🐕,"{pet parent}, don’t ignore {your pet}’s itching. Drop by Supertails for a FREE skin check-up. 🐾"
16/04/2026,Thursday,16April_MP_7E_Clinic_xxGUT,1776770796,Tummy troubles? 🐾,"{pet parent}, {your pet}’s gut needs attention. Visit Supertails today for a FREE check-up. 🐾"
16/04/2026,Thursday,16April_MP_8E_Clinic_xDENT,1776770827,Teeth need care too 🦷,"{pet parent}, dental checks keep {your pet} healthy. Get it checked for FREE only at Supertails. 🐾"
16/04/2026,Thursday,16April_MP_9E_Clinic_xxN2B,1776770717,Start with a check 🐕,"{pet parent}, a simple visit helps {your pet} a lot. Save ₹500 on clinic bills, only at Supertails 🐾"
17/04/2026,Friday,17April_MP_1M_Clinic_Grooming_xxREP,1776770575,Fur growing out again? 🐕,"{pet parent}, {your pet} may be due for a grooming refresh. book a slot at Supertails today🐾"
17/04/2026,Friday,17April_MP_2M_Clinic_xxDWM,1776772867,Worms aren’t visible 🐛,"{pet parent}, hidden worms can affect {your pet}’s health🐾"
17/04/2026,Friday,17April_MP_3M_Clinic_xxGRP,1776772937,Heat affects their coat ☀️,"{pet parent}, long coats can make {your pet} uncomfortable 🐾"
17/04/2026,Friday,17April_MP_4M_Clinic_xxCNP,1776772974,Small signs get missed 👀,"{pet parent}, early checks help {your pet} stay healthy 🐾"
17/04/2026,Friday,17April_MP_5M_Clinic_xBDAY,1776770692,"Some treats, like pampering?","{pet parent}, don’t miss {your pet}’s pampering moment this month. Visit Supertails today 🐾"
17/04/2026,Friday,17April_MP_6M_Clinic_xDENT,1776770827,Bad breath isn’t normal 😬,"{pet parent}, dental issues can affect {your pet}’s health. Visit Supertails for a quick check today 🐾"
17/04/2026,Friday,17April_MP_7M_Clinic_xSKIN,1776770849,Itching isn’t normal 🐕,"{pet parent}, skin issues can worsen fast in {your pet}. Visit Supertails for a quick check today 🐾"
17/04/2026,Friday,17April_MP_8M_Clinic_xxGUT,1776770796,Gut check made easy ✔️,"{pet parent}, gut issues can affect {your pet} in summer. Visit Supertails for a quick check today 🐾"
17/04/2026,Friday,17April_MP_9M_Clinic_xxN2B,1776770717,First check matters 🐾,"{pet parent}, start {your pet}’s care journey right with Supertails's NO stress care.🐕"
18/04/2026,Saturday,18April_MP_1M_Clinic_Grooming_xxREP,1776770575,Fur grows ~1.25 cm/month 🐕,"{pet parent}, that fluff build-up means {your pet} may need a grooming session. Visit Supertails now. 🐾"
18/04/2026,Saturday,18April_MP_2M_Clinic_Vaccine_xxN2B,1776770659,Immunity isn’t forever 💉,"{pet parent}, delays can leave {your pet} unprotected. Get them vaccinated at Supertails. 🐾"
18/04/2026,Saturday,18April_MP_3M_Clinic_xxGRP,1776772937,Dogs don’t sweat like us ☀️,"{pet parent}, trapped heat can make {your pet} uneasy. Get a spa session. 🐾"
18/04/2026,Saturday,18April_MP_4M_Clinic_xxCNP,1776772974,Pets hide pain well 👀,"{pet parent}, subtle changes in {your pet} are easy to miss 🐾"
18/04/2026,Saturday,18April_MP_5M_Clinic_xBDAY,1776770692,Pets age faster than us 🎂,"{pet parent}, a yearly treat that saves you 50% is waiting... Drop by Supertails today 🐾"
18/04/2026,Saturday,18April_MP_6M_Clinic_xxGUT,1776770796,70% immunity is gut-linked 🍽️,"{pet parent}, gut health plays a big role for {your pet}. Visit Supertails for a quick check today 🐾"
